lat,lon,inUS,Within 500mi of Riyadh,Distance_from_Riyadh(in mi),Within 500mi of Tokyo,Distance_from_Tokyo(in mi),Within 500mi of Mexico City,Distance_from_Mexico City(in mi),Within 500mi of Lima,Distance_from_Lima(in mi),Within 500mi of Reykjavik,Distance_from_Reykjavik(in mi),Within 500mi of Zurich,Distance_from_Zurich(in mi),Within 500mi of Sydney,Distance_from_Sydney(in mi)
-38.833332,-68.833336,N,N,"8,606.672",N,"10,855.918",N,"4,477.276",N,"1,918.02",N,"7,558.483",N,"7,617.039",N,"6,795.879"
-38.833332,-61.833332,N,N,"8,233.196",N,"11,232.464",N,"4,692.877",N,"2,072.837",N,"7,439.549",N,"7,358.841",N,"6,984.751"
-38.7594,143.6722,N,N,"7,617.36",N,"5,149.454",N,"8,496.872",N,"8,053.697",N,"10,586.089",N,"10,128.55",N,538.054
-38.75,143.36667,N,N,"7,601.355",N,"5,147.893",N,"8,513.341",N,"8,065.868",N,"10,581.467",N,"10,113.938",N,551.022
-38.73965,-72.59842,N,N,"8,808.331",N,"10,653.066",N,"4,370.483",N,"1,864.167",N,"7,623.099",N,"7,757.277",N,"6,687.778"
-38.69917,146.45312,N,N,"7,760.957",N,"5,156.994",N,"8,346.98",N,"7,947.375",N,"10,614.862",N,"10,256.598",Y,425.386
-38.683334,146.26666,N,N,"7,750.947",N,"5,154.931",N,"8,357.015",N,"7,955.57",N,"10,611.791",N,"10,247.328",Y,431.101
-38.666668,-62.333332,N,N,"8,257.915",N,"11,206.213",N,"4,667.249",N,"2,049.239",N,"7,436.492",N,"7,368.22",N,"6,982.436"
-38.666668,-61.166668,N,N,"8,195.853",N,"11,269.049",N,"4,706.154",N,"2,081.823",N,"7,418.075",N,"7,326.399",N,"7,011.425"
-38.666668,143.5,N,N,"7,606.674",N,"5,142.534",N,"8,506.237",N,"8,064.807",N,"10,577.632",N,"10,117.309",N,541.829
-38.63333,143.88333,N,N,"7,625.934",N,"5,141.433",N,"8,485.58",N,"8,051.651",N,"10,580.342",N,"10,134.092",N,523.721
-38.6,145.58333,N,N,"7,713.817",N,"5,145.855",N,"8,393.81",N,"7,986.664",N,"10,598.588",N,"10,212.485",Y,452.282
-38.583332,-64.0,N,N,"8,345.936",N,"11,116.517",N,"4,608.578",N,"2,001.069",N,"7,458.145",N,"7,424.474",N,"6,944.562"
-38.583332,146.45,N,N,"7,758.802",N,"5,149.013",N,"8,346.996",N,"7,952.855",N,"10,606.983",N,"10,252.465",Y,419.396
-38.55,146.25,N,N,"7,747.766",N,"5,145.675",N,"8,357.755",N,"7,962.419",N,"10,602.585",N,"10,241.956",Y,424.819
